iZ,Z,Layer,Ψini
1.0,10.0,1.0,10000.0
2.0,20.0,1.0,10000.0
3.0,30.0,1.0,10000.0
4.0,40.0,1.0,10000.0
5.0,50.0,1.0,10000.0
6.0,60.0,1.0,10000.0
7.0,70.0,1.0,10000.0
8.0,80.0,1.0,10000.0
9.0,90.0,1.0,10000.0
10.0,100.0,1.0,10000.0
11.0,110.0,1.0,10000.0
12.0,120.0,1.0,10000.0
13.0,130.0,1.0,10000.0
14.0,140.0,1.0,10000.0
15.0,150.0,1.0,10000.0
16.0,160.0,1.0,10000.0
17.0,170.0,1.0,10000.0
18.0,180.0,1.0,10000.0
19.0,190.0,1.0,10000.0
20.0,200.0,1.0,10000.0
21.0,210.0,1.0,10000.0
22.0,220.0,1.0,10000.0
23.0,230.0,1.0,10000.0
24.0,240.0,1.0,10000.0
25.0,250.0,1.0,10000.0
26.0,260.0,1.0,10000.0
27.0,270.0,1.0,10000.0
28.0,280.0,1.0,10000.0
29.0,290.0,1.0,10000.0
30.0,300.0,1.0,10000.0
31.0,310.0,1.0,10000.0
32.0,320.0,1.0,10000.0
33.0,330.0,1.0,10000.0
34.0,340.0,1.0,10000.0
35.0,350.0,1.0,10000.0
36.0,360.0,1.0,10000.0
37.0,370.0,1.0,10000.0
38.0,380.0,1.0,10000.0
39.0,390.0,1.0,10000.0
40.0,400.0,1.0,10000.0
41.0,410.0,1.0,10000.0
42.0,420.0,1.0,10000.0
43.0,430.0,1.0,10000.0
44.0,440.0,1.0,10000.0
45.0,450.0,1.0,10000.0
46.0,460.0,1.0,10000.0
47.0,470.0,1.0,10000.0
48.0,480.0,1.0,10000.0
49.0,490.0,1.0,10000.0
50.0,500.0,1.0,10000.0
51.0,510.0,1.0,10000.0
52.0,520.0,1.0,10000.0
53.0,530.0,1.0,10000.0
54.0,540.0,1.0,10000.0
55.0,550.0,1.0,10000.0
56.0,560.0,1.0,10000.0
57.0,570.0,1.0,10000.0
58.0,580.0,1.0,10000.0
59.0,590.0,1.0,10000.0
60.0,600.0,1.0,10000.0
61.0,610.0,1.0,10000.0
62.0,620.0,1.0,10000.0
63.0,630.0,1.0,10000.0
64.0,640.0,1.0,10000.0
65.0,650.0,1.0,10000.0
66.0,660.0,1.0,10000.0
67.0,670.0,1.0,10000.0
68.0,680.0,1.0,10000.0
69.0,690.0,1.0,10000.0
70.0,700.0,1.0,10000.0
71.0,710.0,1.0,10000.0
72.0,720.0,1.0,10000.0
73.0,730.0,1.0,10000.0
74.0,740.0,1.0,10000.0
75.0,750.0,1.0,10000.0
76.0,760.0,1.0,10000.0
77.0,770.0,1.0,10000.0
78.0,780.0,1.0,10000.0
79.0,790.0,1.0,10000.0
80.0,800.0,1.0,10000.0
81.0,810.0,1.0,10000.0
82.0,820.0,1.0,10000.0
83.0,830.0,1.0,10000.0
84.0,840.0,1.0,10000.0
85.0,850.0,1.0,10000.0
86.0,860.0,1.0,10000.0
87.0,870.0,1.0,10000.0
88.0,880.0,1.0,10000.0
89.0,890.0,1.0,10000.0
90.0,900.0,1.0,10000.0
91.0,910.0,1.0,10000.0
92.0,920.0,1.0,10000.0
93.0,930.0,1.0,10000.0
94.0,940.0,1.0,10000.0
95.0,950.0,1.0,10000.0
96.0,960.0,1.0,10000.0
97.0,970.0,1.0,10000.0
98.0,980.0,1.0,10000.0
99.0,990.0,1.0,10000.0
100.0,1000.0,1.0,10000.0
