iD,Year,Month,Day,Hour,Minute,Second,ΔPrGross[mm],ΔPrSoil[mm],ΔPet[mm],ΔSink[mm],ΔTranspiration[mm],ΔEvaporation[mm],ΔRecharge[mm],Hpond[mm],ΔRunoff[mm],∑WaterBalance_η[mm]
1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8646445448641275e-11
2.0,1.0,1.0,1.0,13.0,0.0,0.0,1.8391268479999994,2.305269750464113,0.0,0.0,0.0,0.0,4.422015995648933e-5,0.0,0.0,3.896908258818324e-10
3.0,1.0,1.0,1.0,14.0,0.0,0.0,1.8391268479999994,2.2541424786020414,0.0,0.0,0.0,0.0,4.854752847452648e-5,0.0,0.0,2.9818978636775385e-10
4.0,1.0,1.0,1.0,15.0,0.0,0.0,1.8391268479999994,2.2174186244082392,0.0,0.0,0.0,0.0,5.191087087706204e-5,0.0,0.0,1.941096283449283e-10
5.0,1.0,1.0,1.0,16.0,0.0,0.0,1.8391268479999994,2.184576262632362,0.0,0.0,0.0,0.0,5.5066941209079036e-5,0.0,0.0,1.4820199099464197e-10
6.0,1.0,1.0,1.0,17.0,0.0,0.0,1.8391268479999994,2.151411709487192,0.0,0.0,0.0,0.0,5.8427972483148915e-5,0.0,0.0,1.279371512202605e-10
7.0,1.0,1.0,1.0,18.0,0.0,0.0,1.8391268479999994,2.1179894818881593,0.0,0.0,0.0,0.0,6.200678126114321e-5,0.0,0.0,2.820999336344004e-10
8.0,1.0,1.0,1.0,19.0,0.0,0.0,1.8391268479999994,2.0964162211222828,2.2725932e-316,0.0,0.0,0.0,6.43832499404596e-5,0.0,0.0,2.4429692620108396e-10
9.0,1.0,1.0,1.0,20.0,0.0,0.0,1.8391268479999994,2.076479342056828,3.22611596e-316,0.0,0.0,0.0,6.660136570467217e-5,0.0,0.0,1.0092478907206355e-10
10.0,1.0,1.0,1.0,21.0,0.0,0.0,1.8391268479999994,2.054404187496715,0.0,0.0,0.0,0.0,6.908246945011337e-5,0.0,0.0,1.9123026198738465e-10
11.0,1.0,1.0,1.0,22.0,0.0,0.0,1.8391268479999994,2.033779311476458,-3.4113179e-316,0.0,0.0,0.0,7.138987169800104e-5,0.0,0.0,1.9372985797462207e-10
12.0,1.0,1.0,1.0,23.0,0.0,0.0,1.8391268479999994,2.01975504098602,-2.08739124e-316,0.0,0.0,0.0,7.293196422964929e-5,0.0,0.0,1.8285948705468674e-10
13.0,1.0,1.0,2.0,0.0,0.0,0.0,1.8391268479999994,2.006679633267197,0.0,0.0,0.0,0.0,7.435168912393625e-5,0.0,0.0,1.9475415664467946e-10
14.0,1.0,1.0,2.0,1.0,0.0,0.0,1.8391268480001273,1.9897977890869925,0.0,0.0,0.0,0.0,7.611907839954525e-5,0.0,0.0,3.792422769793327e-10
15.0,1.0,1.0,2.0,2.0,0.0,0.0,1.8391268479998715,1.9777410123089538,0.0,0.0,0.0,0.0,7.730381505616593e-5,0.0,0.0,4.2137106831008575e-10
16.0,1.0,1.0,2.0,3.0,0.0,0.0,1.8391268479999994,1.9681111934579718,0.0,0.0,0.0,0.0,7.820912178444894e-5,0.0,0.0,4.3347895869198297e-10
17.0,1.0,1.0,2.0,4.0,0.0,0.0,1.8391268479999994,1.9583446630913102,0.0,0.0,0.0,0.0,7.908925739554548e-5,0.0,0.0,4.928427197660111e-10
18.0,1.0,1.0,2.0,5.0,0.0,0.0,1.8391268479999994,1.9458508983231155,3.76683356e-316,0.0,0.0,0.0,8.009413359110753e-5,0.0,0.0,3.3888440076201215e-10
19.0,1.0,1.0,2.0,6.0,0.0,0.0,1.8391268479999994,1.9386144602302267,1.7318756e-316,0.0,0.0,0.0,8.060296507375413e-5,0.0,0.0,2.5101587438072447e-10
20.0,1.0,1.0,2.0,7.0,0.0,0.0,1.8391268479999994,1.9316814460657952,-6.818041e-317,0.0,0.0,0.0,8.106123249481214e-5,0.0,0.0,2.26157206051595e-10
21.0,1.0,1.0,2.0,8.0,0.0,0.0,1.8391268479999994,1.9230003211060591,-3.9482169e-316,0.0,0.0,0.0,8.155550650506974e-5,0.0,0.0,2.1616349861995258e-10
22.0,1.0,1.0,2.0,9.0,0.0,0.0,1.8391268479999994,1.9156732431217591,-8.686881e-317,0.0,0.0,0.0,8.187333467753796e-5,0.0,0.0,1.8788973131978042e-10
23.0,1.0,1.0,2.0,10.0,0.0,0.0,1.8391268479999994,1.9103415973632565,0.0,0.0,0.0,0.0,8.205689496998793e-5,0.0,0.0,1.6410608119186203e-10
24.0,1.0,1.0,2.0,11.0,0.0,0.0,1.8391268480000065,1.9051558831369562,0.0,0.0,0.0,0.0,8.22059331050261e-5,0.0,0.0,1.5568955622023046e-10
