Z,ΔZ,ΔZ_⬓,Znode,ΔZ_Aver,ΔZ_W,Z_CellUp
10.0,10.0,5.0,5.0,NaN,NaN,0.0
20.0,10.0,5.0,15.0,10.0,0.5,10.0
30.0,10.0,5.0,25.0,10.0,0.5,20.0
40.0,10.0,5.0,35.0,10.0,0.5,30.0
50.0,10.0,5.0,45.0,10.0,0.5,40.0
60.0,10.0,5.0,55.0,10.0,0.5,50.0
70.0,10.0,5.0,65.0,10.0,0.5,60.0
80.0,10.0,5.0,75.0,10.0,0.5,70.0
90.0,10.0,5.0,85.0,10.0,0.5,80.0
100.0,10.0,5.0,95.0,10.0,0.5,90.0
110.0,10.0,5.0,105.0,10.0,0.5,100.0
120.0,10.0,5.0,115.0,10.0,0.5,110.0
130.0,10.0,5.0,125.0,10.0,0.5,120.0
140.0,10.0,5.0,135.0,10.0,0.5,130.0
150.0,10.0,5.0,145.0,10.0,0.5,140.0
160.0,10.0,5.0,155.0,10.0,0.5,150.0
170.0,10.0,5.0,165.0,10.0,0.5,160.0
180.0,10.0,5.0,175.0,10.0,0.5,170.0
190.0,10.0,5.0,185.0,10.0,0.5,180.0
200.0,10.0,5.0,195.0,10.0,0.5,190.0
210.0,10.0,5.0,205.0,10.0,0.5,200.0
220.0,10.0,5.0,215.0,10.0,0.5,210.0
230.0,10.0,5.0,225.0,10.0,0.5,220.0
240.0,10.0,5.0,235.0,10.0,0.5,230.0
250.0,10.0,5.0,245.0,10.0,0.5,240.0
260.0,10.0,5.0,255.0,10.0,0.5,250.0
270.0,10.0,5.0,265.0,10.0,0.5,260.0
280.0,10.0,5.0,275.0,10.0,0.5,270.0
290.0,10.0,5.0,285.0,10.0,0.5,280.0
300.0,10.0,5.0,295.0,10.0,0.5,290.0
310.0,10.0,5.0,305.0,10.0,0.5,300.0
320.0,10.0,5.0,315.0,10.0,0.5,310.0
330.0,10.0,5.0,325.0,10.0,0.5,320.0
340.0,10.0,5.0,335.0,10.0,0.5,330.0
350.0,10.0,5.0,345.0,10.0,0.5,340.0
360.0,10.0,5.0,355.0,10.0,0.5,350.0
370.0,10.0,5.0,365.0,10.0,0.5,360.0
380.0,10.0,5.0,375.0,10.0,0.5,370.0
